ip,Protocol,dst,src,len0,len1,len2
0,3,5,5,66,52,0
0,3,5,5,1434,1420,1380
0,3,5,5,60,40,0
0,3,5,5,1434,1420,1380
0,1,5,5,62,48,0
0,3,5,5,1434,1420,1380
0,3,5,5,1434,1420,1380
0,3,5,5,1434,1420,1368
0,3,5,5,60,40,0
0,3,5,5,60,40,0
0,3,5,5,306,292,252
0,3,5,5,745,731,679
0,3,5,5,70,56,16
0,3,5,5,66,52,0
0,3,5,5,745,731,679
0,3,5,5,66,52,0
0,3,5,5,1434,1420,1380
0,3,5,5,1434,1420,1380
0,3,5,5,66,52,0
0,1,5,1,1456,1442,0
0,3,5,5,1434,1420,1368
0,1,5,1,182,168,0
0,3,5,5,66,52,0
0,3,5,5,60,40,0
0,3,5,5,1434,1420,1380
0,3,5,5,66,52,0
0,3,5,5,66,52,0
0,3,5,5,745,731,679
0,3,5,5,126,112,60
0,3,5,5,162,148,96
0,3,5,5,66,52,0
0,3,5,5,191,177,137
0,3,5,5,249,235,183
0,3,5,5,107,93,41
0,3,5,5,66,52,0
0,7,4,5,91,77,0
0,0,5,5,60,0,0
0,3,5,5,66,52,0
0,3,5,5,323,309,269
0,0,5,5,60,0,0
0,3,5,5,66,52,0
0,3,5,5,745,731,679
0,3,5,5,60,40,0
0,3,5,5,1434,1420,1368
0,0,5,5,60,0,0
0,3,5,5,240,226,186
0,3,5,5,66,52,0
0,3,5,5,1434,1420,1368
0,3,5,5,1434,1420,1368
0,3,5,5,1434,1420,1368
0,3,5,5,66,52,0
0,3,5,5,745,731,679
0,3,5,5,745,731,679
0,3,5,5,1434,1420,1368
0,3,5,5,745,731,679
0,3,5,5,66,52,0
0,0,5,5,122,108,0
0,3,5,5,66,52,0
0,3,5,5,1434,1420,1368
0,3,5,5,66,52,0
0,3,5,5,66,52,0
0,3,5,5,66,52,0
0,3,5,5,1434,1420,1368
0,3,5,5,745,731,679
0,3,5,5,745,731,679
0,0,4,5,60,0,0
0,3,5,5,66,52,0
0,3,5,5,745,731,679
0,3,5,5,1434,1420,1368
0,3,5,5,60,40,0
0,3,5,5,745,731,679
0,3,5,5,1434,1420,1368
0,3,5,5,78,64,24
0,3,5,5,1434,1420,1368
0,3,5,5,745,731,679
0,3,5,5,745,731,679
0,3,5,5,745,731,679
0,3,5,5,1434,1420,1368
0,3,5,5,745,731,679
0,3,5,5,80,66,14
0,8,5,5,98,84,0
0,3,5,5,1434,1420,1368
0,3,5,5,66,52,0
0,3,5,5,1434,1420,1368
0,3,5,5,70,56,4
0,3,5,5,745,731,679
0,3,5,5,66,52,0
0,3,5,5,66,52,0
0,3,5,5,70,56,4
0,3,5,5,1434,1420,1368
0,1,5,1,1456,1442,0
0,3,5,5,1434,1420,1368
0,0,5,5,60,0,0
0,3,5,5,1434,1420,1368
0,3,5,5,66,52,0
0,3,5,5,66,52,0
0,3,5,5,1434,1420,1368
0,3,5,5,1434,1420,1368
0,3,5,5,1434,1420,1368
0,3,5,5,1434,1420,1368
0,3,5,5,1434,1420,1368
0,3,5,5,66,52,0
0,3,5,5,1434,1420,1368
